L1DPref;L2DPref;Bench;ipc;SpeedUp;L1DAccuracyTime;L1DAccuracyLate;L1DMPKI;L2CMPKI;LLCMPKI;L1DCoverageTime;L1DCoverageLate
vberti;no;bfs-3.trace.gz;0.3874;Nan;96.8;97.3;Nan;Nan;Nan;30.4;30.6
vberti;no;bfs-8.trace.gz;0.3592;Nan;97.7;97.8;Nan;Nan;Nan;34.7;34.7
vberti;no;cc-13.trace.gz;0.2402;Nan;96.7;97.5;Nan;Nan;Nan;6.3;6.4
vberti;no;cc-14.trace.gz;0.2723;Nan;97.0;97.8;Nan;Nan;Nan;6.3;6.4
vberti;no;cc-5.trace.gz;0.3129;Nan;96.3;97.2;Nan;Nan;Nan;6.3;6.4
vberti;no;cc-6.trace.gz;0.2163;Nan;95.4;96.3;Nan;Nan;Nan;6.5;6.5
vberti;no;pr-10.trace.gz;0.0668;Nan;95.8;96.5;Nan;Nan;Nan;7.2;7.3
vberti;no;pr-14.trace.gz;0.0702;Nan;95.8;96.5;Nan;Nan;Nan;7.2;7.3
vberti;no;pr-3.trace.gz;0.0663;Nan;95.1;95.9;Nan;Nan;Nan;7.3;7.4
vberti;no;pr-5.trace.gz;0.0689;Nan;95.1;95.9;Nan;Nan;Nan;7.3;7.4
vberti;no;sssp-10.trace.gz;0.4303;Nan;88.3;89.8;Nan;Nan;Nan;10.5;10.7
vberti;no;sssp-14.trace.gz;0.4283;Nan;88.4;89.8;Nan;Nan;Nan;10.5;10.7
vberti;no;sssp-3.trace.gz;0.428;Nan;88.7;90.0;Nan;Nan;Nan;10.5;10.7
vberti;no;sssp-5.trace.gz;0.4314;Nan;88.6;90.2;Nan;Nan;Nan;10.6;10.8
